taxa,colors
Marinimicrobia_(SAR406_clade),#9556BD
Marinimicrobia_(SAR406_clade)_cl,#6A714A
Marinimicrobia_(SAR406_clade)_or,#001325
Mariprofundales,#02525F
MAT-CR-H4-C10,#0AA3F7
MAT-CR-M4-B07,#E98176
MAT-CR-M4-B07_cl,#DBD5DD
MAT-CR-M4-B07_or,#5EBCD1
MB-A2-108,#3D4F44
MB-A2-108_or,#7E6405
MBA03,#02684E
MBMPE27,#962B75
MBNT15,#8D8546
MBNT15_cl,#9695C5
MBNT15_or,#E773CE
MD2894-B20,#D86A78
MD2896-B216,#3E89BE
MD2896-B216_or,#CA834E
MD2902-B12,#518A87
MD2902-B12_or,#5B113C
MD2904-B13,#55813B
Melainabacteria,#E704C4
Melainabacteria_unclassified,#00005F
Mesoaciditogales,#A97399
Methanobacteria,#4B8160
Methanobacteriales,#59738A
Methanocellales,#FF5DA7
Methanocellia,#F7C9BF
Methanococcales,#643127
Methanococci,#513A01
Methanofastidiosales,#6B94AA
Methanomassiliicoccales,#51A058
Methanomethyliales,#A45B02
Methanomethylicia,#1D1702
Methanomicrobia,#E20027
Methanomicrobiales,#E7AB63
Methanonatronaechaeales,#4C6001
Methanonatronarchaeia,#9C6966
Methanopyrales,#64547B
Methanopyri,#97979E
Methanosarcinales,#006A66
Methanosarcinia,#391406
Methanosarciniales,#F4D749
Methylacidiphilales,#0045D2
Methylococcales,#006C31
Methylomirabilales,#DDB6D0
Methylomirabilia,#7C6571
Methylomirabilota,#9FB2A4
Micavibrionales,#00D891
Micrarchaeales,#15A08A
Micrarchaeia,#BC65E9
Micrarchaeia_or,#FFFFFE
Micrarchaeota,#C6DC99
Micrococcales,#203B3C
Microgenomatia,#671190
Microgenomatia_or,#6B3A64
Micromonosporales,#F5E1FF
Micropepsales,#FFA0F2
Microtrichales,#CCAA35
MidBa8,#374527
Milano-WF1B-44,#8BB400
ML602M-17,#797868
mle1-8,#C6005A
mle1-27,#3B000A
Modulibacteria,#C86240
Moduliflexales,#29607C
Moduliflexia,#402334
Mollicutes,#7D5A44
Mollicutes_unclassified,#CCB87C
Monoglobales,#B88183
Moorellales,#AA5199
Moorellia,#B5D6C3
MSB-4B10,#A38469
MSB-5B2,#9F94F0
MSB-5E12,#A74571
MSBL2,#B894A6
MSBL5,#71BB8C
MSBL9,#00B433
MT5B39,#789EC9
MT5B39_or,#6D80BA
MVP-15,#953F00
MVP-15_or,#5EFF03
MVP-21,#E4FFFC
MVP-88,#1BE177
Mycoplasmatales,#BCB1E5
Myxococcales,#76912F
Myxococcia,#003109
Myxococcota,#0060CD
Myxococcota_unclassified,#D20096
N9D0,#895563
N9D0_or,#29201D
Nannocystales,#5B3213
Nanoarchaeaeota,#A76F42
Nanoarchaeaeota_unclassified,#89412E
Nanoarchaeales,#1A3A2A
Nanoarchaeia,#494B5A
Nanoarchaeota,#A88C85
Nanohaloarchaeia,#F4ABAA
Nanohaloarchaeota,#A3F3AB
Nanosalinales,#00C6C8
Nanosalinia,#EA8B66
Napoli-4B-65,#958A9F
Natranaerobiales,#BDC9D2
Natranaerobiia,#9FA064
Nautiliales,#BE4700
NB1-j,#658188
NB1-j_cl,#83A485
NB1-j_or,#453C23
NC10,#47675D
Negativicutes,#3A3F00
Neosynechococcales,#061203
Nitriliruptorales,#DFFB71
Nitriliruptoria,#868E7E
Nitrococcales,#98D058
Nitrosocaldales,#6C8F7D
Nitrosococcales,#D7BFC2
Nitrosopumilales,#3C3E6E
Nitrososphaerales,#D83D66
Nitrososphaeria,#2F5D9B
Nitrosotaleales,#6C5E46
Nitrospinae,#D25B88
Nitrospinales,#5B656C
Nitrospinia,#00B57F
Nitrospinota,#545C46
Nitrospinota_cl,#866097
Nitrospinota_or,#365D25
Nitrospira,#252F99
Nitrospirae,#00CCFF
Nitrospirales,#674E60
Nitrospiria,#FC009C
Nitrospirota,#92896B
NKB5,#000000
NKB15,#FFFF00
NKB15_cl,#1CE6FF
NKB15_or,#FF34FF
Nostocales,#FF4A46
NRB23,#008941
NRL2,#006FA6
Obscuribacterales,#A30059
OC31,#FFDBE5
OC31_or,#7A4900
Oceanospirillales,#0000A6
Odinarchaeia,#63FFAC
Odinarchaeia_or,#B79762
ODP123,#004D43
ODP123_or,#8FB0FF
ODP1230B23.02,#997D87
ODP1230B23.02_or,#5A0007
OLB14,#809693
OLB14_or,#FEFFE6
Oligoflexales,#1B4400
Oligoflexia,#4FC601
Oligoflexia_or,#3B5DFF
Oligosphaerales,#4A3B53
Oligosphaeria,#FF2F80
OM190,#61615A
OM190_or,#BA0900
Omnitrophales,#6B7900
Omnitrophia,#00C2A0
Omnitrophia_or,#FFAA92
Omnitrophicaeota,#FF90C9
Omnitrophicaeota_cl,#B903AA
Omnitrophicaeota_or,#D16100
Omnitrophicaeota_unclassified,#DDEFFF
OPB41,#000035
OPB56,#7B4F4B
Opitutales,#A1C299
Orbales,#300018
Oscillospirales,#0AA6D8
Oxyphotobacteria,#013349
Oxyphotobacteria_Incertae_Sedis,#00846F
Oxyphotobacteria_or,#372101
Oxyphotobacteria_unclassified,#FFB500
P0X4b2H11,#C2FFED
P2-11E,#A079BF
P2-11E_or,#CC0744
P9X2b3D02,#C0B9B2
P9X2b3D02_or,#C2FF99
P.palmC41,#001E09
Paceibacterales,#00489C
Paenibacillales,#6F0062
Paracaedibacterales,#0CBD66
Parcubacteria,#EEC3FF
Parcubacteria_or,#456D75
Parcubacteria_unclassified,#B77B68
Parvibaculales,#7A87A1
Patescibacteria,#788D66
Patescibacteria_unclassified,#885578
PAUC26f,#FAD09F
PAUC34f,#FF8A9A
PAUC34f_cl,#D157A0
PAUC34f_or,#BEC459
PAUC43f_marine_benthic_group,#456648
PAUC43f_marine_benthic_group_or,#0086ED
PB19,#886F4C
Pedosphaerales,#34362D
PeM15,#B4A8BD
Peptococcales,#00A6AA
Peptostreptococcales-Tissierellales,#452C2C
Petrotogales,#636375
Phormidesmiales,#A3C8C9
Phycisphaerae,#FF913F
Phycisphaerae_unclassified,#938A81
Phycisphaerales,#575329
Pirellulales,#00FECF
Piscirickettsiales,#B05B6F
pItb-vmat-80,#8CD0FF
Pla1_lineage,#3B9700
Pla3_lineage,#04F757
Pla3_lineage_or,#C8A1A1
Pla4_lineage,#1E6E00
Pla4_lineage_or,#7900D7
Planctomycetacia,#A77500
Planctomycetacia_unclassified,#6367A9
Planctomycetales,#A05837
Planctomycetes,#6B002C
Planctomycetes_unclassified,#772600
Planctomycetota,#D790FF
Planctomycetota_unclassified,#9B9700
PLTA13,#549E79
Polyangia,#FFF69F
Polyangia_or,#201625
Polyangiales,#72418F
Poribacteria,#BC23FF
Poribacteria_cl,#99ADC0
Poribacteria_or,#3A2465
Propionibacteriales,#922329
Proteinivoracales,#5B4534
Proteobacteria,#FDE8DC
